step,reward_mean,cov_rew_mean,col_rew_mean,aux_rew_mean
24576,0.0041,371.9125,-8.0000,53.2237
49152,0.0038,367.2163,-8.0000,54.2904
73728,0.0011,373.9444,-8.0000,58.4000
98304,0.0013,368.5909,-8.0000,56.2719
122880,0.0033,365.8620,-8.0000,57.8898
147456,0.0023,358.9670,-8.0000,58.9981
172032,0.0096,356.8420,-8.0000,59.2014
196608,0.0028,362.3200,-8.0000,60.7949
221184,0.0043,360.4880,-8.0000,59.8580
245760,0.0027,361.3990,-8.0000,57.8086
270336,0.0016,354.2660,-8.0000,57.0821
294912,0.0043,361.2750,-8.0000,60.2294
319488,0.0039,365.6780,-8.0000,61.5967
344064,0.0033,360.1880,-8.0000,60.2295
368640,0.0032,367.2570,-8.0000,60.7767
393216,0.0034,373.0400,-8.0000,63.1439
417792,0.0036,373.9130,-8.0000,61.6227
442368,0.0027,363.9460,-8.0000,56.5723
466944,0.0046,368.8090,-8.0000,59.6608
491520,0.0015,369.3590,-8.0000,61.6336
516096,0.0017,379.3330,-8.0000,67.3620
540672,0.0029,374.7590,-8.0000,66.7028
565248,0.0017,362.0100,-8.0000,61.0072
589824,0.0033,361.6060,-8.0000,60.0268
614400,0.0023,353.7050,-8.0000,55.2132
638976,0.0033,360.8470,-8.0000,60.3486
663552,0.0021,363.9570,-8.0000,61.6800
688128,0.0019,367.2810,-8.0000,63.0983
712704,0.0026,374.3550,-8.0000,68.4029
737280,0.0056,392.9970,-8.0000,73.8853
761856,0.0030,394.1460,-8.0000,73.9799
786432,0.0030,398.5700,-8.0000,77.7911
811008,0.0033,394.5730,-8.0000,77.2273
835584,0.0030,372.9860,-8.0000,67.7593
860160,0.6864,366.4320,-8.0000,60.6615
884736,0.0020,369.1630,-8.0000,62.4473
909312,0.0033,367.9950,-8.0000,60.5451
933888,0.0059,359.0960,-8.0000,58.7267
958464,0.0044,376.1710,-7.9200,68.2193
983040,0.0027,374.5920,-7.9200,66.0039
1007616,0.0019,386.9020,-7.8400,72.0604
1032192,0.0018,403.7660,-7.8400,76.2769
1056768,0.0040,401.3200,-7.8400,76.9695
